source,type,target,provider,account_id,tech_family
stg.gdefence.io.,NS,"ns-1083.awsdns-07.org.,ns-309.awsdns-38.com.,ns-966.awsdns-56.net.,ns-1805.awsdns-33.co.uk.",AWS,,
stg-defence.com.,NS,"ns-1536.awsdns-00.co.uk.,ns-0.awsdns-00.com.,ns-1024.awsdns-00.org.,ns-512.awsdns-00.net.",AWS,,
prv.stg.gdefence.io.,NS,"ns-1536.awsdns-00.co.uk.,ns-0.awsdns-00.com.,ns-1024.awsdns-00.org.,ns-512.awsdns-00.net.",AWS,,
prv.prd-sg.gdefence.io.,NS,"ns-1536.awsdns-00.co.uk.,ns-0.awsdns-00.com.,ns-1024.awsdns-00.org.,ns-512.awsdns-00.net.",AWS,,
qms.grab.com.,NS,"ns-1547.awsdns-01.co.uk.,ns-1052.awsdns-03.org.,ns-274.awsdns-34.com.,ns-808.awsdns-37.net.",AWS,,
tf-account-risk.stg-defence.com.,CNAME,todo,AWS,,
kafka-broker-z2.stg-defence.com.,CNAME,b-2.stg-defence-msk.0sz082.c2.kafka.ap-southeast-1.amazonaws.com,AWS,,
geo.myteksi.net.,NS,"ns-1860.awsdns-40.co.uk.,ns-326.awsdns-40.com.,ns-1224.awsdns-25.org.,ns-863.awsdns-43.net.",AWS,,
geo.stg-myteksi.com.,NS,"ns-636.awsdns-15.net.,ns-1037.awsdns-01.org.,ns-169.awsdns-21.com.,ns-1797.awsdns-32.co.uk.",AWS,,
gandalf.myteksi.net.,NS,"ns-703.awsdns-23.net.,ns-1199.awsdns-21.org.,ns-2034.awsdns-62.co.uk.,ns-177.awsdns-22.com.",AWS,,
coverage-reporter.gandalf.myteksi.net.,A,dualstack.internal-fb894f31-stg-httpsalbingre-9649-2126833367.ap-southeast-1.elb.amazonaws.com.,AWS,,
public-pigeon.gandalf.myteksi.net.,A,dualstack.fb894f31-prd-publichttpsal-759e-2116909625.ap-southeast-1.elb.amazonaws.com.,AWS,,
sg.aws.grabsecurity.com.,NS,"ns-310.awsdns-38.com.,ns-1490.awsdns-58.org.,ns-1882.awsdns-43.co.uk.,ns-635.awsdns-15.net.",AWS,,
stg-pigeonhole.gandalf.myteksi.net.,A,dualstack.internal-fb894f31-stg-httpsalbingre-9649-2126833367.ap-southeast-1.elb.amazonaws.com.,AWS,,
\052.jupyter.sg.aws.grabsecurity.com.,A,dualstack.internal-ac43b21fede9411e995c2028ad90872c-793609436.ap-southeast-1.elb.amazonaws.com.,AWS,,
spacman-alb.sg.aws.grabsecurity.com.,CNAME,spacman-alb-87771642.ap-southeast-1.elb.amazonaws.com,AWS,,
spacman-amisafe.sg.aws.grabsecurity.com.,CNAME,spacman-alb.sg.aws.grabsecurity.com.,AWS,,
spacman-devsite3.sg.aws.grabsecurity.com.,CNAME,spacman-alb.sg.aws.grabsecurity.com.,AWS,,
sr.sg.aws.grabsecurity.com.,NS,"ns-423.awsdns-52.com.,ns-1722.awsdns-23.co.uk.,ns-1129.awsdns-13.org.,ns-725.awsdns-26.net.",AWS,,
aws.grabsecurity.com.,NS,"ns-1930.awsdns-49.co.uk.,ns-1369.awsdns-43.org.,ns-555.awsdns-05.net.,ns-51.awsdns-06.com.",AWS,,
sg.aws.grabsecurity.com.,NS,"ns-635.awsdns-15.net,ns-310.awsdns-38.com,ns-1490.awsdns-58.org,ns-1882.awsdns-43.co.uk",AWS,,
grabinfosec.com.,NS,"ns-1817.awsdns-35.co.uk.,ns-348.awsdns-43.com.,ns-1072.awsdns-06.org.,ns-950.awsdns-54.net.",AWS,,
grabpay.my.,NS,"ns-710.awsdns-24.net.,ns-1728.awsdns-24.co.uk.,ns-1152.awsdns-16.org.,ns-421.awsdns-52.com.",AWS,,
www.facesofsoutheastasia.com.,NS,"ns-497.awsdns-62.com.,ns-785.awsdns-34.net.,ns-1627.awsdns-11.co.uk.,ns-1408.awsdns-48.org.",AWS,,
kafka-broker-z1.stg-defence.com.,CNAME,b-1.stg-defence-msk.0sz082.c2.kafka.ap-southeast-1.amazonaws.com,AWS,,
grabid.id.,NS,"ns-1320.awsdns-37.org.,ns-799.awsdns-35.net.,ns-1960.awsdns-53.co.uk.,ns-394.awsdns-49.com.",AWS,,
grabid.co.id.,NS,"ns-521.awsdns-01.net.,ns-241.awsdns-30.com.,ns-1893.awsdns-44.co.uk.,ns-1176.awsdns-19.org.",AWS,,
grabindonesia.co.id.,NS,"ns-1414.awsdns-48.org.,ns-414.awsdns-51.com.,ns-1979.awsdns-55.co.uk.,ns-704.awsdns-24.net.",AWS,,
hungrygowhere.com.,NS,"ns-955.awsdns-55.net.,ns-425.awsdns-53.com.,ns-1188.awsdns-20.org.,ns-2015.awsdns-59.co.uk.",AWS,,
cycle.stg-myteksi.com.,NS,"ns-1635.awsdns-12.co.uk.,ns-90.awsdns-11.com.,ns-914.awsdns-50.net.,ns-1218.awsdns-24.org.",AWS,,
cycle.myteksi.net.,NS,"ns-937.awsdns-53.net.,ns-2004.awsdns-58.co.uk.,ns-1339.awsdns-39.org.,ns-313.awsdns-39.com.",AWS,,
factory.cycle.myteksi.net.,A,dualstack.prod-wheels-office-ui-alb-174181151.ap-southeast-1.elb.amazonaws.com.,AWS,,
geomap.cycle.myteksi.net.,A,dualstack.prod-wheels-office-ui-alb-174181151.ap-southeast-1.elb.amazonaws.com.,AWS,,
cycle.grab.com.,NS,"ns-715.awsdns-25.net.,ns-1367.awsdns-42.org.,ns-1735.awsdns-24.co.uk.,ns-240.awsdns-30.com.",AWS,,
pax-bazel-cache.myteksi.net.,NS,"ns-1462.awsdns-54.org.,ns-302.awsdns-37.com.,ns-1994.awsdns-57.co.uk.,ns-783.awsdns-33.net.",AWS,,
grabmessaging.com.,NS,"ns-534.awsdns-02.net.,ns-1196.awsdns-21.org.,ns-1604.awsdns-08.co.uk.,ns-429.awsdns-53.com.",AWS,,
stg-grabmessaging.com.,NS,"ns-357.awsdns-44.com.,ns-1217.awsdns-24.org.,ns-842.awsdns-41.net.,ns-1863.awsdns-40.co.uk.",AWS,,
platform-engineering.cloud.,NS,"ns-1864.awsdns-41.co.uk,ns-881.awsdns-46.net,ns-1294.awsdns-33.org,ns-242.awsdns-30.com",AWS,,
tuan.platform-engineering.cloud.,NS,"ns-968.awsdns-57.net.,ns-1108.awsdns-10.org.,ns-9.awsdns-01.com.,ns-2040.awsdns-63.co.uk.",AWS,,
xuan.platform-engineering.cloud.,NS,"ns-231.awsdns-28.com.,ns-993.awsdns-60.net.,ns-2019.awsdns-60.co.uk.,ns-1348.awsdns-40.org.",AWS,,
xuan.platform-engineering.cloud.,NS,"ns-231.awsdns-28.com.,ns-993.awsdns-60.net.,ns-2019.awsdns-60.co.uk.,ns-1348.awsdns-40.org.",AWS,,
clair.xuan.platform-engineering.cloud.,A,xuan-clair-35072a1aa6ed9461.elb.ap-southeast-1.amazonaws.com.,AWS,,
tuan.platform-engineering.cloud.,NS,"ns-968.awsdns-57.net.,ns-1108.awsdns-10.org.,ns-9.awsdns-01.com.,ns-2040.awsdns-63.co.uk.",AWS,,
grabdriverbenefits.com.,NS,"ns-679.awsdns-20.net.,ns-49.awsdns-06.com.,ns-1593.awsdns-07.co.uk.,ns-1420.awsdns-49.org.",AWS,,
doormantest.data.bali.data-platform.myteksi.net.,NS,"ns-1600.awsdns-08.co.uk.,ns-375.awsdns-46.com.,ns-1080.awsdns-07.org.,ns-700.awsdns-23.net.",AWS,,
dtest.data.bali.data-platform.myteksi.net.,NS,"ns-1155.awsdns-16.org.,ns-446.awsdns-55.com.,ns-654.awsdns-17.net.,ns-1700.awsdns-20.co.uk.",AWS,,
dbopsmyteksi.net.,NS,"ns-1774.awsdns-29.co.uk.,ns-97.awsdns-12.com.,ns-945.awsdns-54.net.,ns-1287.awsdns-32.org.",AWS,,
grab-data.internal.,NS,"ns-1536.awsdns-00.co.uk.,ns-0.awsdns-00.com.,ns-1024.awsdns-00.org.,ns-512.awsdns-00.net.",AWS,,
data-engineering.myteksi.net.,NS,"ns-1541.awsdns-00.co.uk.,ns-853.awsdns-42.net.,ns-1287.awsdns-32.org.,ns-496.awsdns-62.com.",AWS,,
alation-waf.data-engineering.myteksi.net.,A,alation-alb-1949457702.ap-southeast-1.elb.amazonaws.com.,AWS,,
datagateway-internal.data-engineering.myteksi.net.,A,dualstack.internal-a3cc367fd66af11ea9eee0672567e030-826438207.ap-southeast-1.elb.amazonaws.com.,AWS,,
datagateway-service.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
datagateway-service-x.data-engineering.myteksi.net.,A,dualstack.a41a3a2e115af11ea84700a28a6efa7e-589767684.ap-southeast-1.elb.amazonaws.com.,AWS,,
datagateway-x.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
es-kairos.data-engineering.myteksi.net.,A,dualstack.internal-a2b68575c772a11e9934a062a132fefd-1075972561.ap-southeast-1.elb.amazonaws.com.,AWS,,
