source,type,target,provider,account_id,tech_family
vfirepository.sr.sg.aws.grabsecurity.com.,A,repository-elb-grabsecurity-com-1264848275.ap-southeast-1.elb.amazonaws.com.,AWS,526471918137,
vx.sr.sg.aws.grabsecurity.com.,A,velo-pub-nlb-grabsecurity-com-b6a629f9c88de67e.elb.ap-southeast-1.amazonaws.com.,AWS,526471918137,
vxa.sr.sg.aws.grabsecurity.com.,A,internal-velo-pri-alb-grabsecurity-com-1615706339.ap-southeast-1.elb.amazonaws.com.,AWS,526471918137,
win_pub_workstation01.sr.sg.aws.grabsecurity.com.,A,10.198.255.196,AWS,526471918137,
obs.myteksi.net.,NS,"ns-663.awsdns-18.net.,ns-1743.awsdns-25.co.uk.,ns-410.awsdns-51.com.,ns-1225.awsdns-25.org.",AWS,583373956923,
obs.myteksi.net.,SOA,ns-663.awsdns-18.net. awsdns-hostmaster.amazon.com. 1 7200 900 1209600 86400,AWS,583373956923,
_1baec67226418cc18c11ddb60b200541.obs.myteksi.net.,CNAME,_cac60a5f95fa4c33423a7e60b016a73d.wggjkglgrm.acm-validations.aws.,AWS,583373956923,
_dx5dyl8nzfnrpviwzths.obs.myteksi.net.,TXT,"""vpce:amTrEKKHIGKQ7QqjleOt""",AWS,583373956923,
alert-webhook.obs.myteksi.net.,CNAME,internal-prd-alert-webhook-39369675.ap-southeast-1.elb.amazonaws.com,AWS,583373956923,
db-metrics-api.obs.myteksi.net.,CNAME,prd-metrics-api.cth0oemjjuzh.ap-southeast-1.rds.amazonaws.com,AWS,583373956923,
db-rundeck.obs.myteksi.net.,CNAME,prd-rundeck.cth0oemjjuzh.ap-southeast-1.rds.amazonaws.com,AWS,583373956923,
db-slam.obs.myteksi.net.,CNAME,prd-slam.cth0oemjjuzh.ap-southeast-1.rds.amazonaws.com,AWS,583373956923,
metrics-api.obs.myteksi.net.,A,internal-prd-metrics-api-alb-344677300.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
periscope-burrow.obs.myteksi.net.,A,internal-prd-periscope-burrow-1838007171.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
periscope-elasticsearch-read-coordinator.obs.myteksi.net.,A,dualstack.internal-prd-periscope-es-read-coord-1574618677.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
periscope-elasticsearch-seeds.obs.myteksi.net.,A,"10.0.226.55,10.0.234.94,10.0.229.171",AWS,583373956923,
periscope-elasticsearch-write-coordinator-a.obs.myteksi.net.,A,dualstack.prd-periscope-es-write-coord-a-6255c4abb68baf95.elb.ap-southeast-1.amazonaws.com.,AWS,583373956923,
periscope-elasticsearch-write-coordinator-b.obs.myteksi.net.,A,dualstack.prd-periscope-es-write-coord-b-24b308a24f4507d2.elb.ap-southeast-1.amazonaws.com.,AWS,583373956923,
periscope-elasticsearch-write-coordinator-c.obs.myteksi.net.,A,dualstack.prd-periscope-es-write-coord-c-ec3159bb4f733aee.elb.ap-southeast-1.amazonaws.com.,AWS,583373956923,
periscope-gateway.obs.myteksi.net.,A,internal-prd-periscope-gateway-68160509.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
periscope-kibana.obs.myteksi.net.,A,dualstack.internal-prd-periscope-kibana-internal-1478352939.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
rundeck.obs.myteksi.net.,A,prd-rundeck-2008316669.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
slam-influxdb-read.obs.myteksi.net.,A,internal-prd-slam-influxdb-read-246039499.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
slam-influxdb-write.obs.myteksi.net.,A,internal-prd-slam-influxdb-write-480948985.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
slam-proxy.obs.myteksi.net.,A,internal-prd-slam-proxy-1602933507.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
slam.obs.myteksi.net.,A,internal-prd-slam-grafana-internal-787151165.ap-southeast-1.elb.amazonaws.com.,AWS,583373956923,
obs.stg-myteksi.com.,NS,"ns-1693.awsdns-19.co.uk.,ns-973.awsdns-57.net.,ns-1227.awsdns-25.org.,ns-48.awsdns-06.com.",AWS,583373956923,
