ip,association_id,allocation_id
18.138.189.252,eipassoc-012245c2c6ba04f4c,eipalloc-0355debb0f9151c42
3.0.10.238,eipassoc-0cad83f8ab0f4d2d8,eipalloc-046ea8315e5de4cb3
3.0.109.75,eipassoc-00d51b39f731d9394,eipalloc-0f4387582190d4d15
52.220.24.181,eipassoc-0e5e8e5da0a248335,eipalloc-02548d6c77c1106a3
52.74.149.28,eipassoc-0f5368bd64518414f,eipalloc-02d44e63c2e90c45d
52.77.129.6,eipassoc-0d1d22a2e42e71132,eipalloc-0434f2e23d82bf642
54.251.96.149,eipassoc-0fa7ba91ee5097c40,eipalloc-0b67d27f8b555a3f1
54.255.24.247,eipassoc-021e9817fe64c5fd8,eipalloc-0f6e2b294f7ef90bc
13.250.188.207,eipassoc-ea1ff616,eipalloc-38b29702
13.251.208.155,eipassoc-2bcf42d7,eipalloc-0b83cb94fe25b6a85
18.141.97.189,,eipalloc-09c9c9b378f00aa11
13.228.180.85,eipassoc-97ea575a,eipalloc-0e4a9f47ed290d079
13.228.40.141,eipassoc-206bd0ed,eipalloc-0a1093bc837888838
13.228.88.127,eipassoc-538c0a9e,eipalloc-0d94f1e807bb6213f
13.229.24.172,eipassoc-8d2fcc57,eipalloc-0bbc732931eade3c3
13.250.155.52,eipassoc-f371b9ce,eipalloc-a2134598
13.251.79.48,eipassoc-01b9767a961ce3802,eipalloc-052a0167f07a6cce7
18.136.167.254,eipassoc-021c5cc34e7b018cb,eipalloc-0c84326be34e72cbe
18.136.227.44,eipassoc-5715f38d,eipalloc-0ef3ed0591dce75ca
18.136.23.174,eipassoc-b5c77478,eipalloc-04c7a42b45e767a43
18.138.116.245,,eipalloc-0977493da4e58f15e
18.139.165.24,eipassoc-771f7f8b,eipalloc-00df3aee2f5543229
18.139.187.223,eipassoc-ece56621,eipalloc-0005a52a89d59350a
18.139.36.88,eipassoc-e3d85b2e,eipalloc-0f3d3e6d5b29482ce
18.139.8.164,eipassoc-0943ad00c1dc1ce7c,eipalloc-07fee7c7336b951f7
18.139.9.194,eipassoc-4d607296,eipalloc-02b58ef1c90f3c692
18.140.167.82,eipassoc-87aeb35c,eipalloc-05023ee6522d1361c
18.140.219.165,eipassoc-9da64447,eipalloc-0f217e9ecd800c459
18.141.34.204,eipassoc-012e8fb10db4f96eb,eipalloc-01910505b6e01a3d4
3.0.113.90,eipassoc-1062e1dd,eipalloc-0a30b404633cf88a4
46.137.255.207,eipassoc-0c822a7554b0c1c84,eipalloc-0d59e1406cea93f45
52.220.139.245,eipassoc-9b452867,eipalloc-014092f5de853c777
52.220.189.241,eipassoc-8ed83b54,eipalloc-0a13e256a5777964b
52.220.195.221,eipassoc-d1c3ae2d,eipalloc-008979e84c9a7e87e
52.221.122.87,eipassoc-a31a885f,eipalloc-04d4dcd5dc990eddb
52.76.24.177,eipassoc-5e79e5a2,eipalloc-0588ec0f90436f98a
52.77.119.66,eipassoc-1a4b0f7d,eipalloc-a54d16c0
52.77.94.231,eipassoc-df5511b8,eipalloc-864c17e3
54.169.70.61,eipassoc-22610cde,eipalloc-0331aaf9d7ceca9b9
54.179.1.142,eipassoc-0a5f21effb858058a,eipalloc-00d396799b38d7283
122.248.210.23,eipassoc-08e76ea03d89f4deb,eipalloc-0b4e1c84b6518f010
13.250.230.68,eipassoc-0848572dce7aeeb42,eipalloc-0476e840a0c02719f
18.141.71.188,eipassoc-064f76e2de1ffc278,eipalloc-068842d0120acec78
52.220.133.70,eipassoc-0d36ac37,eipalloc-a62bbb9c
54.255.93.32,eipassoc-02f4c4a91c54f763f,eipalloc-0432e5785d3c8fbba
13.228.117.197,,eipalloc-03393866
13.228.119.9,eipassoc-73de24be,eipalloc-19d5ef23
13.228.159.132,,eipalloc-a65f4cc3
13.228.228.192,,eipalloc-23190e19
13.228.33.190,,eipalloc-0042674bda58ade46
13.228.54.98,,eipalloc-3b22ba01
13.229.185.252,,eipalloc-1b8d8621
13.250.129.172,,eipalloc-01a38d3b
13.250.147.176,eipassoc-056ca3c8,eipalloc-bf060485
13.250.152.242,,eipalloc-0672b34e06d17b967
